"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
path_study,benchpath_study,,dropdown,"Penetrating Injury?","1, Yes | 2, No","To be eligible for Bench-PATH study, the patient must have penetrating injury",,,,,,y,,,,,
path_prehospital_txa,benchpath_study,,dropdown,"Was pre-hospital TXA given?","1, Yes | 2, No | 3, Unable to determine",,,,,,"[path_study] = '1'",,,,,,
path_whole_blood,benchpath_study,,dropdown,"Was whole blood given in the bay?","1, Yes | 2, No | 3, Unable to determine",,,,,,"[path_study] = '1'",,,,,,
path_whole_blood_volume,benchpath_study,,text,"Whole blood given volume",,,,,,,"[path_whole_blood] = '1'",,,,,,
path_max_people,benchpath_study,,text,"What was the maximum number of people present in the bay?",,"Based on trauma video review",,,,,"[path_study] = '1'",,,,,,
path_moi,benchpath_study,,dropdown,"Mechanism of penetrating injury:","1, GSW | 2, Shotgun | 3, Stab | 4, Other",,,,,,"[path_study] = '1'",y,,,,,
path_gsw_count,benchpath_study,,text,"GSW count",,"The number of GSWs patient suffered",,,,,"[path_moi] = '1'",,,,,,
path_gsw_location,benchpath_study,,checkbox,"GSW Location","1, Chest | 2, Abdomen | 3, Pelvis | 4, Extremities | 5, Head/Neck | 6, Flank | 7, Back","Please check all that apply",,,,,"[path_moi] = '1'",,,,,,
path_shotgun_count,benchpath_study,,text,"Shotgun Count",,"The number of shotgun wounds patient suffered",,,,,"[path_moi] = '2'",,,,,,
path_shotgun_location,benchpath_study,,checkbox,"Shotgun location","1, Chest | 2, Abdomen | 3, Pelvis | 4, Extremities | 5, Head/Neck | 6, Flank | 7, Back","Please check all that apply",,,,,"[path_moi] = '2'",,,,,,
path_stab_count,benchpath_study,,text,"Stab wound count",,"The number of stab wounds patient suffered",,,,,"[path_moi] = '3'",,,,,,
path_stab_location,benchpath_study,,checkbox,"Stab location","1, Chest | 2, Abdomen | 3, Pelvis | 4, Extremities | 5, Head/Neck | 6, Flank | 7, Back","Check all that apply",,,,,"[path_moi] = '3'",,,,,,
path_other_text,benchpath_study,,text,Other,,"Please describe other mechanisms",,,,,"[path_moi] = '4'",,,,,,
path_other_count,benchpath_study,,text,"Other penetrating count",,"Please write the number of other penetrating injury that the patient suffered",,,,,"[path_moi] = '4'",,,,,,
path_other_location,benchpath_study,,checkbox,"Other location","1, Chest | 2, Abdomen | 3, Pelvis | 4, Extremities | 5, Head/Neck | 6, Flank | 7, Back","Please check all that apply.",,,,,"[path_moi] = '4'",,,,,,
path_survive_bay,benchpath_study,,dropdown,"Survived to dispo from the bay?","1, Yes | 2, No | 3, Unable to determine",,,,,,"[path_study] = '1'",,,,,,
path_survive_24,benchpath_study,,dropdown,"Survived for 24 hours?","1, Yes | 2, No | 3, Unable to determine",,,,,,"[path_study] = '1'",,,,,,
path_survive_discharge,benchpath_study,,dropdown,"Survived to discharge?","1, Yes | 2, No | 3, Unable to determine",,,,,,"[path_study] = '1'",,,,,,
