"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,tvr_data,,text,"Record ID",,,,,,,,,,,,,
review_trigger,tvr_data,Pre-arrival,radio,"What was the trigger for review at your institution?","1, Research | 2, QI/PI | 3, Education | 4, Coaching | 5, Other",,,,,,,,,,,,
trigger_other,tvr_data,,text,Other,,,,,,,"[review_trigger] = 5",,,,,,
camera_on,tvr_data,,yesno,"Was the camera on and running when the patient arrived in the bay?",,"Defined as video recording before first view of patient/stretcher on main screen.",,,,,,,,,,,
pre_arrival_briefing,tvr_data,,radio,"Was a pre-arrival briefing performed?","1, Yes | 2, No | 3, Unable to determine","Per institutional standard. Unable to be determined if video starts after patient's arrival.",,,,,,,,,,,
patient_arrival,tvr_data,"Pre-hospital/Patient Handoff",text,"Patient arrival",,"First view of patient on stretcher on main video screen in trauma bay, record as time of day",datetime_seconds_dmy,,,,,,,,,,
ems_hand_off_start_time,tvr_data,,text,"EMS hand-off start time",,"When EMS starts hand-off. If unable to determine ENTER 01-01-2020 00:00:01",datetime_seconds_dmy,,,,,,,,,,
ems_hand_off_end_time,tvr_data,,text,"EMS hand-off end time",,"When EMS completes hand-off tool, or if tool not complete, when EMS stops speaking. If unable to determine ENTER 01-01-2020 00:00:01",datetime_seconds_dmy,,,,,,,,,,
handoff_repetitive,tvr_data,,radio,"Did any information have to be repeated?","1, Yes | 2, No | 3, Unable to determine","EMS team is asked to state information that was already given",,,,,,,,,,,
handoff_interruption,tvr_data,,radio,"Was there an interruption in communication at any point during handoff?","1, Yes | 2, No | 3, Unable to determine","e.g. EMS team cut off, questions interjected, information asked for again, etc",,,,,,,,,,,
bed_transfer,tvr_data,,text,"Time of patient transfer to trauma stretcher",,"Time patient is on the trauma stretcher. If unable to determine ENTER 01-01-2020 00:00:01",datetime_seconds_dmy,,,,,,,,,,
prehospital_access,tvr_data,,radio,"Did patient arrive with prehospital access","1, Yes | 2, No | 3, Unable to determine","If pt arrived with any type of access (IO/IV)",,,,,,,,,,,
prehospital_access_working,tvr_data,,radio,"Was pre-hospital access functional?","1, Yes | 2, No | 3, Unable to determine","Working flushed IV/IO per EMS",,,,,,,,,,,
prehospital_access_used,tvr_data,,radio,"Was pre-hospital access being used for infusions/transfusions?","1, Yes | 2, No | 3, Unable to determine","Fluids/blood running on arrival",,,,,,,,,,,
primary_survey_start,tvr_data,Resuscitation,text,"Time primary survey started",,"First time any part of primary survey is vocalized, record as time of day, e.g. ""airway intact"". If unable to determine ENTER 01-01-2020 00:00:01",datetime_seconds_dmy,,,,,,,,,,
